CTV3ID,CTV3Term,classificationcode,classificationkey
XaMuG,Compensation for liver failure,1,Liver disease/failure
XaMuI,Compensation for liver failure NOS,1,Liver disease/failure
X307O,Cryptogenic cirrhosis,1,Liver disease/failure
XaXi9,Cystic fibrosis related cirrhosis,1,Liver disease/failure
J6153,Diffuse nodular cirrhosis,1,Liver disease/failure
X307I,Drug-induced chronic hepatitis,1,Liver disease/failure
J6154,Fatty portal cirrhosis,1,Liver disease/failure
X307W,Fibrosis of liver,1,Liver disease/failure
X307N,Florid cirrhosis,1,Liver disease/failure
X3079,Fulminant hepatic failure,1,Liver disease/failure
14S8.,H/O: liver recipient,1,Liver disease/failure
X3076,Hepatic failure,1,Liver disease/failure
X3078,Hepatic failure NOS,1,Liver disease/failure
X307b,Hepatic fibrosis with hepatic sclerosis,1,Liver disease/failure
J63A.,Hepatic granulomas in sarcoidosis,1,Liver disease/failure
X307Z,Hepatic sclerosis,1,Liver disease/failure
J624.,Hepatorenal syndrome,1,Liver disease/failure
SP143,Hepatorenal syndrome as a complication of care,1,Liver disease/failure
X307U,Hypoxia-associated cirrhosis,1,Liver disease/failure
X307T,Infectious cirrhosis,1,Liver disease/failure
J615H,Infectious cirrhosis NOS,1,Liver disease/failure
X307c,Intrahepatic phlebosclerosis and fibrosis,1,Liver disease/failure
X307S,"Laennec's cirrhosis, non-alcoholic",1,Liver disease/failure
J62z.,Liver abscess and chronic liver disease causing sequelae NOS,1,Liver disease/failure
J62..,Liver abscess and sequelae of chronic liver disease,1,Liver disease/failure
XaREa,Liver disease due to cystic fibrosis,1,Liver disease/failure
X3077,Liver failure NOS,1,Liver disease/failure
X307z,Liver transplant failure,1,Liver disease/failure
X307z,Liver transplant failure,1,Liver disease/failure
SP086,Liver transplant failure and rejection,1,Liver disease/failure
SP086,Liver transplant failure and rejection,1,Liver disease/failure
X307y,Liver transplant rejection,1,Liver disease/failure
X307y,Liver transplant rejection,1,Liver disease/failure
J6155,Macronodular cirrhosis,1,Liver disease/failure
X307Q,Micronodular cirrhosis,1,Liver disease/failure
J6152,Mixed portal cirrhosis,1,Liver disease/failure
XE0b6,Multilobular portal cirrhosis,1,Liver disease/failure
XE0bA,Non-alcoholic cirrhosis NOS,1,Liver disease/failure
J61y.,Other non-alcoholic chronic liver disease,1,Liver disease/failure
J61yz,Other non-alcoholic chronic liver disease NOS,1,Liver disease/failure
XE0bC,Other sequelae of chronic liver disease,1,Liver disease/failure
XaMuH,Other specified compensation for liver failure,1,Liver disease/failure
A704.,Other specified viral hepatitis with coma,1,Liver disease/failure
A704z,Other specified viral hepatitis with hepatic coma NOS,1,Liver disease/failure
X307Y,Pericellular fibrosis of congenital syphilis,1,Liver disease/failure
J6159,Pigmentary portal cirrhosis,1,Liver disease/failure
J615A,Pipestem portal cirrhosis,1,Liver disease/failure
X307R,Portal cirrhosis,1,Liver disease/failure
J615y,Portal cirrhosis unspecified,1,Liver disease/failure
J61y3,Portal fibrosis without cirrhosis,1,Liver disease/failure
J623.,Portal hypertension,1,Liver disease/failure
J6160,Primary biliary cirrhosis,1,Liver disease/failure
J6617,Primary sclerosing cholangitis,1,Liver disease/failure
F10y0,Progressive neuronal degeneration with liver cirrhosis,1,Liver disease/failure
J6143,Recurrent hepatitis,1,Liver disease/failure
J6161,Secondary biliary cirrhosis,1,Liver disease/failure
J6010,Subacute hepatic failure,1,Liver disease/failure
X307A,Subfulminant hepatic failure,1,Liver disease/failure
J615F,Syphilitic portal cirrhosis,1,Liver disease/failure
X307V,Toxic cirrhosis,1,Liver disease/failure
J6355,Toxic liver disease with chronic active hepatitis,1,Liver disease/failure
J6354,Toxic liver disease with chronic lobular hepatitis,1,Liver disease/failure
J6353,Toxic liver disease with chronic persistent hepatitis,1,Liver disease/failure
J6356,Toxic liver disease with fibrosis and cirrhosis of liver,1,Liver disease/failure
J615B,Toxic portal cirrhosis,1,Liver disease/failure
J6150,Unilobular portal cirrhosis,1,Liver disease/failure
A706.,Unspecified viral hepatitis with coma,1,Liver disease/failure
A7040,Viral hepatitis C with coma,1,Liver disease/failure
XaYbp,Viral hepatitis with hepatic coma,1,Liver disease/failure
J615G,Zooparasitic portal cirrhosis,1,Liver disease/failure
