SNOMEDID,DMD_description
2759011000001103,Fluphenazine decanoate 100mg/1ml solution for injection ampoules (Hospira UK Ltd)
1325411000001105,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules
36058211000001103,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules
588611000001108,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
2755111000001104,Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
1292911000001105,Fluphenazine decanoate 250mg/10ml solution for injection vials
36058311000001106,Fluphenazine decanoate 250mg/10ml solution for injection vials
1042011000001109,Fluphenazine decanoate 25mg/1ml solution for injection ampoules
1216811000001100,Fluphenazine decanoate 25mg/1ml solution for injection ampoules
36058411000001104,Fluphenazine decanoate 25mg/1ml solution for injection ampoules
214011000001101,Fluphenazine decanoate 25mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
2755811000001106,Fluphenazine decanoate 25mg/1ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
527111000001107,Fluphenazine decanoate 25mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)
2756511000001101,Fluphenazine decanoate 25mg/1ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)
356411000001100,Fluphenazine decanoate 25mg/1ml solution for injection ampoules (Hospira UK Ltd)
2756211000001104,Fluphenazine decanoate 25mg/1ml solution for injection ampoules (Hospira UK Ltd)
1195611000001106,Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes
36058511000001100,Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes
1029911000001101,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules
1047811000001100,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules
36058611000001101,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules
4744611000001101,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
4744811000001102,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules (A A H Pharmaceuticals Ltd)
688411000001101,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules (Hospira UK Ltd)
2758511000001100,Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules (Hospira UK Ltd)
1242111000001102,Fluphenazine decanoate 50mg/2ml solution for injection ampoules
36058711000001105,Fluphenazine decanoate 50mg/2ml solution for injection ampoules
1212111000001108,Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes
36058811000001102,Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes
3748011000001101,Haldol Decanoate 100mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)
3748111000001100,Haldol Decanoate 100mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)
3747311000001104,Haldol Decanoate 50mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)
3747711000001100,Haldol Decanoate 50mg/1ml solution for injection ampoules (Janssen-Cilag Ltd)
3747811000001108,Haloperidol decanoate 100mg/1ml solution for injection ampoules
36053611000001108,Haloperidol decanoate 100mg/1ml solution for injection ampoules
3747111000001101,Haloperidol decanoate 50mg/1ml solution for injection ampoules
36053711000001104,Haloperidol decanoate 50mg/1ml solution for injection ampoules
790311000001100,Modecate 12.5mg/0.5ml solution for injection ampoules (Sanofi)
2755311000001102,Modecate 12.5mg/0.5ml solution for injection ampoules (Sanofi)
928411000001107,Modecate 250mg/10ml solution for injection vials (Sanofi-Synthelabo Ltd)
2757311000001105,Modecate 250mg/10ml solution for injection vials (Sanofi-Synthelabo Ltd)
39132411000001101,Modecate 25mg/1ml solution for injection ampoules (Imported (Denmark))
39132511000001102,Modecate 25mg/1ml solution for injection ampoules (Imported (Denmark))
39132211000001100,Modecate 25mg/1ml solution for injection ampoules (Imported (Germany))
39132311000001108,Modecate 25mg/1ml solution for injection ampoules (Imported (Germany))
556111000001108,Modecate 25mg/1ml solution for injection ampoules (Sanofi)
2756411000001100,Modecate 25mg/1ml solution for injection ampoules (Sanofi)
66211000001107,Modecate 25mg/1ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)
2757611000001100,Modecate 25mg/1ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)
119311000001100,Modecate 50mg/2ml solution for injection ampoules (Sanofi)
2756911000001108,Modecate 50mg/2ml solution for injection ampoules (Sanofi)
153511000001100,Modecate 50mg/2ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)
2757911000001106,Modecate 50mg/2ml solution for injection pre-filled syringes (Sanofi-Synthelabo Ltd)
39132811000001104,Modecate Concentrate 100mg/1ml solution for injection ampoules (Imported (Germany))
39132911000001109,Modecate Concentrate 100mg/1ml solution for injection ampoules (Imported (Germany))
565211000001101,Modecate Concentrate 100mg/1ml solution for injection ampoules (Sanofi)
2759111000001102,Modecate Concentrate 100mg/1ml solution for injection ampoules (Sanofi)
837811000001102,Modecate Concentrate 50mg/0.5ml solution for injection ampoules (Sanofi)
2758311000001106,Modecate Concentrate 50mg/0.5ml solution for injection ampoules (Sanofi)
17037611000001102,Olanzapine embonate 210mg powder and solvent for suspension for injection vials
17037711000001106,Olanzapine embonate 210mg powder and solvent for suspension for injection vials
17038211000001100,Olanzapine embonate 300mg powder and solvent for suspension for injection vials
17038311000001108,Olanzapine embonate 300mg powder and solvent for suspension for injection vials
17038711000001107,Olanzapine embonate 405mg powder and solvent for suspension for injection vials
17038811000001104,Olanzapine embonate 405mg powder and solvent for suspension for injection vials
19210511000001107,Paliperidone 100mg/1ml suspension for injection pre-filled syringes
19223511000001106,Paliperidone 100mg/1ml suspension for injection pre-filled syringes
19210811000001105,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes
19223611000001105,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes
21198511000001102,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes and Paliperidone 100mg/1ml suspension for injection pre-filled syringes
21199511000001108,Paliperidone 150mg/1.5ml suspension for injection pre-filled syringes and Paliperidone 100mg/1ml suspension for injection pre-filled syringes
32866811000001105,Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes
32878911000001109,Paliperidone 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes
32867711000001104,Paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes
32879011000001100,Paliperidone 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes
32868011000001100,Paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes
32879111000001104,Paliperidone 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes
19208711000001103,Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes
19223711000001101,Paliperidone 50mg/0.5ml suspension for injection pre-filled syringes
32868311000001102,Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes
32879211000001105,Paliperidone 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes
19209911000001109,Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes
19223811000001109,Paliperidone 75mg/0.75ml suspension for injection pre-filled syringes
8823211000001101,Piportil Depot 100mg/2ml solution for injection ampoules (Sanofi)
8823311000001109,Piportil Depot 100mg/2ml solution for injection ampoules (Sanofi)
3822011000001103,Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi)
3822211000001108,Piportil Depot 50mg/1ml solution for injection ampoules (Sanofi)
8823111000001107,Pipotiazine 100mg/2ml solution for injection ampoules
36016711000001103,Pipotiazine 100mg/2ml solution for injection ampoules
38066511000001104,Pipotiazine 100mg/4ml solution for injection ampoules
38067811000001104,Pipotiazine 100mg/4ml solution for injection ampoules
3821811000001100,Pipotiazine 50mg/1ml solution for injection ampoules
36016911000001101,Pipotiazine 50mg/1ml solution for injection ampoules
9494211000001104,Psytixol 100mg/1ml solution for injection ampoules (Mylan)
9494311000001107,Psytixol 100mg/1ml solution for injection ampoules (Mylan)
9494511000001101,Psytixol 200mg/1ml solution for injection ampoules (Mylan)
9494611000001102,Psytixol 200mg/1ml solution for injection ampoules (Mylan)
9488311000001103,Psytixol 20mg/1ml solution for injection ampoules (Mylan)
9488611000001108,Psytixol 20mg/1ml solution for injection ampoules (Mylan)
9489211000001101,Psytixol 40mg/2ml solution for injection ampoules (Mylan)
9489411000001102,Psytixol 40mg/2ml solution for injection ampoules (Mylan)
9490711000001100,Psytixol 50mg/0.5ml solution for injection ampoules (Mylan)
9490811000001108,Psytixol 50mg/0.5ml solution for injection ampoules (Mylan)
4520711000001102,Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
4520811000001105,Risperdal Consta 25mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
21204711000001104,Risperdal Consta 25mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
21204811000001107,Risperdal Consta 25mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
4166711000001102,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
4166811000001105,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
36873711000001102,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Originalis B.V.)
36873811000001105,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Originalis B.V.)
10982311000001102,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
10982411000001109,Risperdal Consta 37.5mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
4167011000001101,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
4167111000001100,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Janssen-Cilag Ltd)
36873911000001100,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Originalis B.V.)
36874011000001102,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Originalis B.V.)
10982511000001108,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
10982611000001107,Risperdal Consta 50mg powder and solvent for suspension for injection vials (Waymade Healthcare Plc)
5507111000001101,Risperidone 1mg tablets (Dowelhurst Ltd)
5507211000001107,Risperidone 1mg tablets (Dowelhurst Ltd)
5507311000001104,Risperidone 1mg tablets (Dowelhurst Ltd)
5507511000001105,Risperidone 1mg tablets (Dowelhurst Ltd)
4520611000001106,Risperidone 25mg powder and solvent for suspension for injection vials
4559111000001109,Risperidone 25mg powder and solvent for suspension for injection vials
5508511000001109,Risperidone 2mg tablets (Dowelhurst Ltd)
5508611000001108,Risperidone 2mg tablets (Dowelhurst Ltd)
4166611000001106,Risperidone 37.5mg powder and solvent for suspension for injection vials
4176911000001105,Risperidone 37.5mg powder and solvent for suspension for injection vials
5507411000001106,Risperidone 3mg tablets (Dowelhurst Ltd)
5507711000001100,Risperidone 3mg tablets (Dowelhurst Ltd)
5507911000001103,Risperidone 4mg tablets (Dowelhurst Ltd)
5508111000001100,Risperidone 4mg tablets (Dowelhurst Ltd)
4166911000001100,Risperidone 50mg powder and solvent for suspension for injection vials
4177011000001109,Risperidone 50mg powder and solvent for suspension for injection vials
32866911000001100,Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
32867011000001101,Trevicta 175mg/0.875ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
32867811000001107,Trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
32867911000001102,Trevicta 263mg/1.315ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
32868111000001104,Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
32868211000001105,Trevicta 350mg/1.75ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
32868411000001109,Trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
32868511000001108,Trevicta 525mg/2.625ml prolonged-release suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
19210611000001106,Xeplion 100mg/1ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
19210711000001102,Xeplion 100mg/1ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
21198611000001103,Xeplion 150mg/1.5ml and 100mg/1ml suspension for injection treatment initiation pack (Janssen-Cilag Ltd)
21198711000001107,Xeplion 150mg/1.5ml and 100mg/1ml suspension for injection treatment initiation pack (Janssen-Cilag Ltd)
19210911000001100,Xeplion 150mg/1.5ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
19211011000001108,Xeplion 150mg/1.5ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
19208911000001101,Xeplion 50mg/0.5ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
19209111000001106,Xeplion 50mg/0.5ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
19210011000001104,Xeplion 75mg/0.75ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
19210111000001103,Xeplion 75mg/0.75ml suspension for injection pre-filled syringes (Janssen-Cilag Ltd)
1166011000001105,Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules
36152111000001102,Zuclopenthixol decanoate 200mg/1ml solution for injection ampoules
1288411000001104,Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules
36152211000001108,Zuclopenthixol decanoate 500mg/1ml solution for injection ampoules
17037811000001103,Zypadhera 210mg powder and solvent for suspension for injection vials (Eli Lilly and Company Ltd)
17037911000001108,Zypadhera 210mg powder and solvent for suspension for injection vials (Eli Lilly and Company Ltd)
17038411000001101,Zypadhera 300mg powder and solvent for suspension for injection vials (Eli Lilly and Company Ltd)
17038611000001103,Zypadhera 300mg powder and solvent for suspension for injection vials (Eli Lilly and Company Ltd)
17039011000001100,Zypadhera 405mg powder and solvent for suspension for injection vials (Eli Lilly and Company Ltd)
17039111000001104,Zypadhera 405mg powder and solvent for suspension for injection vials (Eli Lilly and Company Ltd)
38112711000001100,Abilify 10mg orodispersible tablets (DE Pharmaceuticals)
38112811000001108,Abilify 10mg orodispersible tablets (DE Pharmaceuticals)
18049311000001105,Abilify 10mg orodispersible tablets (Lexon (UK) Ltd)
18049411000001103,Abilify 10mg orodispersible tablets (Lexon (UK) Ltd)
19726011000001103,Abilify 10mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)
19726211000001108,Abilify 10mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)
10664611000001100,Abilify 10mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
10664711000001109,Abilify 10mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
13819511000001105,Abilify 10mg orodispersible tablets (Sigma Pharmaceuticals Plc)
13819611000001109,Abilify 10mg orodispersible tablets (Sigma Pharmaceuticals Plc)
13184411000001104,Abilify 10mg orodispersible tablets (Waymade Healthcare Plc)
13184611000001101,Abilify 10mg orodispersible tablets (Waymade Healthcare Plc)
13818111000001108,Abilify 10mg tablets (DE Pharmaceuticals)
13818211000001102,Abilify 10mg tablets (DE Pharmaceuticals)
13096111000001109,Abilify 10mg tablets (Dowelhurst Ltd)
13096211000001103,Abilify 10mg tablets (Dowelhurst Ltd)
29952911000001108,Abilify 10mg tablets (Lexon (UK) Ltd)
29953011000001100,Abilify 10mg tablets (Lexon (UK) Ltd)
16253311000001109,Abilify 10mg tablets (Mawdsley-Brooks & Company Ltd)
16253411000001102,Abilify 10mg tablets (Mawdsley-Brooks & Company Ltd)
17561311000001109,Abilify 10mg tablets (Necessity Supplies Ltd)
17561411000001102,Abilify 10mg tablets (Necessity Supplies Ltd)
7637111000001104,Abilify 10mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
7637211000001105,Abilify 10mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
13818711000001109,Abilify 10mg tablets (Sigma Pharmaceuticals Plc)
13818811000001101,Abilify 10mg tablets (Sigma Pharmaceuticals Plc)
16539111000001100,Abilify 10mg tablets (Stephar (U.K.) Ltd)
16539211000001106,Abilify 10mg tablets (Stephar (U.K.) Ltd)
10471711000001103,Abilify 10mg tablets (Waymade Healthcare Plc)
10471911000001101,Abilify 10mg tablets (Waymade Healthcare Plc)
18049511000001104,Abilify 15mg orodispersible tablets (Lexon (UK) Ltd)
18049611000001100,Abilify 15mg orodispersible tablets (Lexon (UK) Ltd)
10664911000001106,Abilify 15mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
10665011000001106,Abilify 15mg orodispersible tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
13819711000001100,Abilify 15mg orodispersible tablets (Sigma Pharmaceuticals Plc)
13819811000001108,Abilify 15mg orodispersible tablets (Sigma Pharmaceuticals Plc)
12886811000001105,Abilify 15mg orodispersible tablets (Waymade Healthcare Plc)
12886911000001100,Abilify 15mg orodispersible tablets (Waymade Healthcare Plc)
37427811000001108,Abilify 15mg tablets (CST Pharma Ltd)
37427911000001103,Abilify 15mg tablets (CST Pharma Ltd)
13818311000001105,Abilify 15mg tablets (DE Pharmaceuticals)
13818411000001103,Abilify 15mg tablets (DE Pharmaceuticals)
13096511000001100,Abilify 15mg tablets (Dowelhurst Ltd)
13096811000001102,Abilify 15mg tablets (Dowelhurst Ltd)
29953111000001104,Abilify 15mg tablets (Lexon (UK) Ltd)
29953211000001105,Abilify 15mg tablets (Lexon (UK) Ltd)
16253511000001103,Abilify 15mg tablets (Mawdsley-Brooks & Company Ltd)
16253611000001104,Abilify 15mg tablets (Mawdsley-Brooks & Company Ltd)
17561511000001103,Abilify 15mg tablets (Necessity Supplies Ltd)
17561611000001104,Abilify 15mg tablets (Necessity Supplies Ltd)
7637411000001109,Abilify 15mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
7637511000001108,Abilify 15mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
13818911000001106,Abilify 15mg tablets (Sigma Pharmaceuticals Plc)
13819011000001102,Abilify 15mg tablets (Sigma Pharmaceuticals Plc)
16539311000001103,Abilify 15mg tablets (Stephar (U.K.) Ltd)
16539411000001105,Abilify 15mg tablets (Stephar (U.K.) Ltd)
10472011000001108,Abilify 15mg tablets (Waymade Healthcare Plc)
10472211000001103,Abilify 15mg tablets (Waymade Healthcare Plc)
37427611000001109,Abilify 1mg/ml oral solution (CST Pharma Ltd)
37427711000001100,Abilify 1mg/ml oral solution (CST Pharma Ltd)
38112911000001103,Abilify 1mg/ml oral solution (DE Pharmaceuticals)
38113011000001106,Abilify 1mg/ml oral solution (DE Pharmaceuticals)
16114911000001101,Abilify 1mg/ml oral solution (Lexon (UK) Ltd)
16115011000001101,Abilify 1mg/ml oral solution (Lexon (UK) Ltd)
17488711000001106,Abilify 1mg/ml oral solution (Mawdsley-Brooks & Company Ltd)
17488811000001103,Abilify 1mg/ml oral solution (Mawdsley-Brooks & Company Ltd)
17560711000001100,Abilify 1mg/ml oral solution (Necessity Supplies Ltd)
17560811000001108,Abilify 1mg/ml oral solution (Necessity Supplies Ltd)
10667211000001109,Abilify 1mg/ml oral solution (Otsuka Pharmaceuticals (U.K.) Ltd)
10667311000001101,Abilify 1mg/ml oral solution (Otsuka Pharmaceuticals (U.K.) Ltd)
17532011000001109,Abilify 1mg/ml oral solution (Sigma Pharmaceuticals Plc)
17532111000001105,Abilify 1mg/ml oral solution (Sigma Pharmaceuticals Plc)
20560311000001108,Abilify 1mg/ml oral solution (Waymade Healthcare Plc)
20560411000001101,Abilify 1mg/ml oral solution (Waymade Healthcare Plc)
13818511000001104,Abilify 30mg tablets (DE Pharmaceuticals)
13818611000001100,Abilify 30mg tablets (DE Pharmaceuticals)
13096911000001107,Abilify 30mg tablets (Dowelhurst Ltd)
13097011000001106,Abilify 30mg tablets (Dowelhurst Ltd)
16114711000001103,Abilify 30mg tablets (Lexon (UK) Ltd)
16114811000001106,Abilify 30mg tablets (Lexon (UK) Ltd)
16253911000001105,Abilify 30mg tablets (Mawdsley-Brooks & Company Ltd)
16254011000001108,Abilify 30mg tablets (Mawdsley-Brooks & Company Ltd)
17561711000001108,Abilify 30mg tablets (Necessity Supplies Ltd)
17561811000001100,Abilify 30mg tablets (Necessity Supplies Ltd)
7637811000001106,Abilify 30mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
7638011000001104,Abilify 30mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
13819111000001101,Abilify 30mg tablets (Sigma Pharmaceuticals Plc)
13819211000001107,Abilify 30mg tablets (Sigma Pharmaceuticals Plc)
10475911000001104,Abilify 30mg tablets (Waymade Healthcare Plc)
10476111000001108,Abilify 30mg tablets (Waymade Healthcare Plc)
13817911000001105,Abilify 5mg tablets (DE Pharmaceuticals)
13819411000001106,Abilify 5mg tablets (DE Pharmaceuticals)
13095611000001106,Abilify 5mg tablets (Dowelhurst Ltd)
13095711000001102,Abilify 5mg tablets (Dowelhurst Ltd)
29952711000001106,Abilify 5mg tablets (Lexon (UK) Ltd)
29952811000001103,Abilify 5mg tablets (Lexon (UK) Ltd)
16252911000001103,Abilify 5mg tablets (Mawdsley-Brooks & Company Ltd)
16253111000001107,Abilify 5mg tablets (Mawdsley-Brooks & Company Ltd)
17560911000001103,Abilify 5mg tablets (Necessity Supplies Ltd)
17561011000001106,Abilify 5mg tablets (Necessity Supplies Ltd)
9037911000001102,Abilify 5mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
9038011000001100,Abilify 5mg tablets (Otsuka Pharmaceuticals (U.K.) Ltd)
13819311000001104,Abilify 5mg tablets (Sigma Pharmaceuticals Plc)
13821311000001108,Abilify 5mg tablets (Sigma Pharmaceuticals Plc)
10476311000001105,Abilify 5mg tablets (Waymade Healthcare Plc)
10476411000001103,Abilify 5mg tablets (Waymade Healthcare Plc)
13451111000001101,Abilify 9.75mg/1.3ml solution for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd)
13451211000001107,Abilify 9.75mg/1.3ml solution for injection vials (Otsuka Pharmaceuticals (U.K.) Ltd)
400645002,Amisulpride 100mg tablets
2841711000001101,Amisulpride 100mg tablets
8923011000001100,Amisulpride 100mg tablets (A A H Pharmaceuticals Ltd)
8923111000001104,Amisulpride 100mg tablets (A A H Pharmaceuticals Ltd)
9728511000001108,Amisulpride 100mg tablets (Accord Healthcare Ltd)
9728611000001107,Amisulpride 100mg tablets (Accord Healthcare Ltd)
9342811000001106,Amisulpride 100mg tablets (Alliance Healthcare (Distribution) Ltd)
