CTV3ID,CTV3Term
E1146,"Bipolar affective disorder, currently manic, full remission"
E114z,"Bipolar affective disorder, currently manic, NOS"
E115.,"Bipolar affective disorder, current episode depression"
E1150,"Bipolar affective disorder, currently depressed, unspecified"
E1151,"Bipolar affective disorder, currently depressed, mild"
E1152,"Bipolar affective disorder, currently depressed, moderate"
E1153,"Bipolar affect disord, now depressed, severe, no psychosis"
E1154,"Bipolar affect disord, now depressed, severe with psychosis"
E1155,"Bipolar affect disord, now depressed, part/unspec remission"
E1156,"Bipolar affective disorder, now depressed, in full remission"
E115z,"Bipolar affective disorder, currently depressed, NOS"
E116.,Mixed bipolar affective disorder
E1160,"Mixed bipolar affective disorder, unspecified"
E1161,"Mixed bipolar affective disorder, mild"
E1162,"Mixed bipolar affective disorder, moderate"
E1163,"Mixed bipolar affective disorder, severe, without psychosis"
E1164,"Mixed bipolar affective disorder, severe, with psychosis"
E1165,"Mixed bipolar affective disorder, partial/unspec remission"
E1166,"Mixed bipolar affective disorder, in full remission"
E116z,"Mixed bipolar affective disorder, NOS"
E117.,Unspecified bipolar affective disorder
E1170,"Unspecified bipolar affective disorder, unspecified"
E1171,"Unspecified bipolar affective disorder, mild"
E1172,"Unspecified bipolar affective disorder, moderate"
E1173,"Unspecified bipolar affective disorder, severe, no psychosis"
E1174,"Unspecified bipolar affective disorder, severe with psychosis"
E1175,"Unspecified bipolar affect disord, partial/unspec remission"
E1176,"Unspecified bipolar affective disorder, in full remission"
E117z,"Unspecified bipolar affective disorder, NOS"
E11y.,Other and unspecified manic-depressive psychoses
E11y0,Unspecified manic-depressive psychoses
E11y1,Atypical manic disorder
E11y3,Other mixed manic-depressive psychoses
E11yz,Other and unspecified manic-depressive psychoses NOS
E11z.,Other and unspecified affective psychoses
E11z0,Unspecified affective psychoses NOS
E11zz,Other affective psychosis NOS
E12..,Paranoid disorder
E120.,Simple paranoid state
E121.,Chronic paranoid psychosis
E122.,Paraphrenia
E123.,Shared paranoid disorder
E12y.,Other paranoid states
E12y0,Paranoia querulans
E12yz,Other paranoid states NOS
E12z.,Paranoid psychosis NOS
E13..,Other nonorganic psychoses
E130.,Reactive depressive psychosis
E131.,Acute hysterical psychosis
E132.,Reactive confusion
E133.,Acute paranoid reaction
E134.,Psychogenic paranoid psychosis
E13y.,Other reactive psychoses
E13y0,Psychogenic stupor
E13y1,Brief reactive psychosis
E13yz,Other reactive psychoses NOS
E13z.,Psychotic episode NOS
E1y..,Other specified non-organic psychoses
E2...,Non-organic psychoses
E21..,Paranoid schizophrenia
E210.,Paranoid personality disorder
E211.,Simple schizophrenia
E2113,Cyclothymia
E212.,Hebephrenic schizophrenia
E2120,Unspecified schizoid personality disorder
E2122,Schizotypal personality disorder
E212z,Schizoid personality disorder NOS
E213.,Catatonic schizophrenia
E214.,Paranoid schizophrenia
E21Z.,Schizophrenia NOS
E22..,Affective psychoses
E22Z.,Other manic-depressive psychos
E23..,Paranoid states
E2Z..,Other nonorganic psychoses
E2ZZ.,Other nonorganic psychoses
E411.,Paranoid personality disorder
Eu2..,"Schizophrenia, schizotypal and delusional disorders"
Eu20.,Schizophrenia
Eu200,Paranoid schizophrenia
Eu201,Hebephrenic schizophrenia
Eu202,(Cat schiz)(cat stupor)(schiz catalep)(schiz flex cerea)
Eu203,Undifferentiated schizophrenia
Eu204,Post-schizophrenic depression
Eu205,Residual schizophrenia
Eu206,Simple schizophrenia
Eu20y,Schizophrenifrm psychos NOS
Eu20z,"Schizophrenia, unspecified"
Eu21.,Schizotypal disorder
Eu22.,Persistent delusional disorders
Eu220, Delusional disorder (& [named variants])
Eu221,Delusional misidentification syndrome
Eu222,Cotard syndrome
Eu22y,Other persistent delusional disorders
Eu22z,"Persistent delusional disorder, unspecified"
Eu230,Acute polymorphic psychot disord without symp of schizoph
Eu231,Acute polymorphic psychot disord with symp of schizophren
Eu232,Oneirophrenia
Eu233,Other acute predominantly delusional psychotic disorders
Eu23y,Other acute and transient psychotic disorders
Eu23z,Reactive psychoses
Eu24.,Induced delusional disorder
Eu25.,Schizoaffective disorder
Eu250,"Schizoaffective psychosis, manic type"
Eu251,"Schizoaffective psychosis, depressive type"
Eu252,Cyclic schizophrenia
Eu25y,Other schizoaffective disorders
Eu25z,"Schizoaffective disorder, unspecified"
Eu2y., Chronic hallucinatory psychosis
Eu2z., Psychosis: [unspecified nonorganic] or [NOS]
Eu3..,Mood - affective disorders
Eu30.,"Manic episode (& [bipolar disord, single manic episode])"
Eu300,Hypomania
Eu301,Mania without psychotic symptoms
Eu302,Mania with psychotic symptoms
Eu30y,Other manic episodes
Eu30z,"Manic episode, unspecified"
Eu31.,Bipolar affective disorder
Eu310,"Bipolar affective disorder, current episode hypomanic"
Eu311,Bipolar affect disorder cur epi manic wout psychotic symp
Eu312,Bipolar affect disorder cur epi manic with psychotic symp
Eu313,Bipolar affect disorder cur epi mild or moderate depressn
Eu314,"Bipol aff disord, curr epis sev depress, no psychot symp"
Eu315,"Bipolar affect disord, now depressed, severe with psychosis"
Eu316,"Bipolar affective disorder, current episode mixed"
Eu317,"Bipolar affective disorder, currently in remission"
Eu318,Bipolar affective disorder type I
Eu319,Bipolar II disorder
Eu31y,Bipolar II disorder
Eu31z,"Bipolar affective disorder, unspecified"
Eu323,Single episode of major depression and psychotic symptoms
Eu328,"Major depression, severe with psychotic symptoms"
Eu333,Depress with psych sympt: [recurr: (named vars)][endogen]
Eu34.,Persistent mood affective disorders
Eu34y,Other persistent mood affective disorders
Eu34z,"Persistent mood affective disorder, unspecified"
Eu3y.,Other mood affective disorders
Eu3y0,Other single mood affective disorders
Eu3yy,Other specified mood affective disorders
Eu3z.,Unspecified mood affective disorder
Eu44.,Hysterical psychosis
Eu601,Schizoid personality disorder
X00Qx,Psychotic episode NOS
X00Qy,Reactive psychoses
X00S6,Psychotic disorder
X00SA,Persistent delusional disorder
X00SC,Acute transient psychotic disorder
X00SD,Schizophreniform disorder
X00SJ,Manic psychosis
X00SK,Manic stupor
X00SL,Hypomania
X00SM,Bipolar disorder
X00SN,Bipolar II disorder
X50GE,Cutaneous monosymptomatic delusional psychosis
X50GF,Delusions of parasitosis
X50GG,Delusions of infestation
X50GH,Delusion of foul odour
X50GJ,Delusional hyperhidrosis
X75yp,Delusions
X75yq,Grandiose delusions
X75z4,Delusion of persecution
X761M,Prepsychotic schizophrenia
XE1Xw,Acute schizophrenic episode
XE1Xx,Other schizophrenia
XE1Xy,Mood disorder
XE1Xz,"Manic disorder, single episode"
XE1Y2,Chronic paranoid psychosis
XE1Y3,Other non-organic psychoses
XE1Y4,Acute paranoid reaction
XE1Y5,Non-organic psychosis NOS
XE1YF,Paranoid personality disorder
XE1ZM,Other schizophrenia
XE1ZN,Schizotypal disorder
XE1ZO,Delusional disorder
XE1ZP,Other persistent delusional disorders
XE1ZQ,Acute polymorphic psychot disord without symp of schizoph
XE1ZR,Other acute predominantly delusional psychotic disorders
XE1ZS,"Acute and transient psychotic disorder, unspecified"
XE1ZT,Other non-organic psychotic disorders
XE1ZU,Unspecified nonorganic psychosis
XE1ZV,Mania with psychotic symptoms
XE1ZW,"Manic episode, unspecified"
XE1ZX,Bipolar II disorder
XE1ZZ,Severe depressive episode with psychotic symptoms
XE1Ze,Recurrent depress disorder cur epi severe with psyc symp
XE1aM,Schizophrenic psychoses (& [paranoid schizophrenia])
XE1aO,Paranoid schizophrenia
XE1aQ,Affective psychoses
XE1aS,(Mania) or (hypomania) or (agitated depression)
XE1aU,(Paranoid states) or (delusion: [paranoid] or [persecution])
XE1hk,"Psychotic condition, insight present"
XE1jg,"Psychotic condition, insight present"
XE2RN,Paranoid personality (& disorder)
XE2b8,Mixed schizophrenic and affective pschosis
XE2uT,"Schizoaffective disorder, manic type"
XE2un,"Schizoaffective disorder, depressive type"
XM1GG,Borderline schizophrenia
XM1GH,Acute polymorphic psychotic disorder
XSGon,Severe major depression with psychotic features
Xa0lD,Involutional paranoid state
Xa0lF,Delusional dysmorphophobia
Xa0s9,Acute schizophrenia-like psychotic disorder
Xa0tC,Late paraphrenia
Xa1Pl,Psychotic symptom present
Xa1aD,Monosymptomatic hypochondriacal psychosis
Xa1aF,Erotomania
Xa1bS,Othello syndrome
Xa3WO,Manic mood
XaAyN,Ideas of reference
XaB5u,Bouffee delirante
XaB5v,Cycloid psychosis
XaB8j,Oneirophrenia
XaB95,Other manic-depressive psychos
XaCHo,"Manic-depress psychosis,depressd,no psychotic symptoms"
XaK4Y,Erotomania
XaKUl,Paranoid ideation
XaKUm,O/E - paranoid delusions
XaKUn,O/E - delusion of persecution
XaX52,Nonorganic psychosis in remission
XaX53,"Single major depress ep, severe with psych, psych in remissn"
XaX54,"Recurr major depress ep, severe with psych, psych in remissn"
XaY1Y,Bipolar I disorder
XagU1,"Recurrent reactiv depressiv episodes, severe, with psychosis"
